	AERS_ANAPHYLAXIS	AERS_ANEMIA	AERS_ANGIOEDEMA	AERS_ANXIETY	AERS_APLASTIC_ANEMIA	AERS_ARRHYTHMIA	AERS_ARTHRALGIA	AERS_ASTHMA	AERS_ATRIAL_FIBRILLATION	AERS_BODY WEIGHT DECREASED	AERS_BRADYCARDIA	AERS_BRONCHOSPASM	AERS_CARDIAC_ARREST	AERS_CEREBROVASCULAR_ACCIDENT	AERS_CHEST_PAIN	AERS_COMA	AERS_CONVULSION	AERS_DIARRHEA	AERS_DIZZINESS	AERS_DYSPNOEA	AERS_FEVER	AERS_GASTROINTESTINAL_HAEMORRHAGE	AERS_HEART_FAILURE	AERS_HEPATIC_FAILURE	AERS_HYPERGLYCEMIA	AERS_HYPERKALEMIA	AERS_HYPERTENSION	AERS_HYPOGLYCAEMIA	AERS_LEUKOPENIA	AERS_MENTAL DEPRESSION	AERS_MYALGIA	AERS_MYOCARDIAL_INFARCTION	AERS_NEUROPATHY	AERS_PANCREATITIS	AERS_PARAESTHESIA	AERS_PERIPHERAL EDEMA	AERS_PERIPHERAL_NEUROPATHY	AERS_PNEUMONIA	AERS_PRURITUS	AERS_PULMONARY_EDEMA	AERS_RENAL_FAILURE_ACUTE	AERS_SEPSIS	AERS_SLEEPLESSNESS	AERS_THROMBOCYTOPENIA	AERS_TREMOR	AERS_VAGINAL_HEMORRHAGE	AERS_VENTRICULAR_TACHYCARDIA	AERS_VOMITING	AERS_WEIGHT GAIN
AERS_ANAPHYLAXIS	0	0.0	1.0	0.016	0.014	0.913	0.418	0.964	0.001	0.0	0.668	1.0	0.992	0.355	0.615	0.003	0.658	0.029	0.044	0.329	0.239	0.387	0.0	0.114	0.0	0.003	0.019	0.038	0.05	0.0	0.001	0.732	0.006	0.0	0.835	0.001	0.0	0.0	1.0	0.243	0.343	0.003	0.004	0.179	0.489	0.006	0.92	0.006	0.003
AERS_ANEMIA	0.0	0	0.0	0.0	1.0	0.032	0.146	0.0	0.605	0.921	0.0	0.0	0.0	0.007	0.04	0.0	0.0	0.921	0.0	0.005	0.988	1.0	0.671	0.976	0.719	0.1	0.045	0.008	0.996	0.025	0.005	0.749	0.544	0.689	0.047	0.257	0.977	0.999	0.011	0.019	0.819	0.999	0.0	1.0	0.0	0.897	0.001	0.637	0.0
AERS_ANGIOEDEMA	1.0	0.0	0	0.009	0.727	0.343	0.048	0.895	0.0	0.0	0.993	0.987	0.5	0.241	0.199	0.169	0.003	0.0	0.0	0.005	0.121	0.103	0.0	0.017	0.028	1.0	0.009	0.948	0.905	0.0	0.655	0.0	0.036	0.259	0.416	0.456	0.002	0.0	0.988	0.009	1.0	0.0	0.0	0.627	0.001	0.006	0.42	0.0	0.0
AERS_ANXIETY	0.016	0.0	0.009	0	0.0	0.059	0.715	0.627	0.0	0.778	0.02	0.026	0.714	0.121	0.752	0.906	1.0	0.011	1.0	0.528	0.0	0.0	0.0	0.0	0.0	0.0	0.715	0.155	0.0	1.0	0.463	0.185	0.01	0.03	0.99	0.109	0.007	0.0	0.321	0.028	0.0	0.0	1.0	0.0	1.0	0.244	0.171	0.705	0.976
AERS_APLASTIC_ANEMIA	0.014	1.0	0.727	0.0	0	0.0	0.495	0.394	0.132	0.001	0.045	0.0	0.001	0.0	0.0	0.882	0.896	0.003	0.0	0.0	0.965	0.961	0.044	0.988	0.024	0.933	0.0	0.397	1.0	0.401	0.202	0.0	0.246	0.558	0.023	0.046	0.611	0.433	0.086	0.354	0.906	0.912	0.005	0.986	0.003	0.357	0.023	0.0	0.004
AERS_ARRHYTHMIA	0.913	0.032	0.343	0.059	0.0	0	0.001	0.426	1.0	0.002	1.0	0.929	1.0	0.681	0.273	0.806	0.824	0.0	0.122	0.17	0.0	0.197	0.995	0.161	0.715	0.713	0.389	0.179	0.0	0.415	0.002	0.419	0.111	0.083	0.247	0.302	0.114	0.018	0.0	0.944	0.045	0.0	0.121	0.139	0.107	0.001	1.0	0.0	0.125
AERS_ARTHRALGIA	0.418	0.146	0.048	0.715	0.495	0.001	0	0.817	0.073	0.955	0.0	0.001	0.0	0.824	0.947	0.0	0.0	0.45	0.833	0.501	0.916	0.0	0.065	0.002	0.001	0.0	0.444	0.04	0.21	0.932	0.999	0.639	0.301	0.739	0.969	0.996	0.051	0.437	0.999	0.0	0.0	0.011	0.819	0.089	0.042	0.985	0.001	0.469	0.935
AERS_ASTHMA	0.964	0.0	0.895	0.627	0.394	0.426	0.817	0	0.004	0.11	0.034	1.0	0.279	0.274	0.596	0.001	0.523	0.025	0.348	1.0	0.0	0.0	0.309	0.002	0.001	0.0	0.032	0.408	0.0	0.522	0.016	0.053	0.005	0.475	0.676	0.113	0.0	0.11	0.714	0.001	0.0	0.0	0.574	0.0	0.932	0.236	0.047	0.0	0.158
AERS_ATRIAL_FIBRILLATION	0.001	0.605	0.0	0.0	0.132	1.0	0.073	0.004	0	0.046	0.955	0.178	0.893	0.769	0.823	0.0	0.0	0.656	0.193	0.865	0.017	0.997	1.0	0.111	0.85	0.991	0.406	0.183	0.144	0.0	0.182	0.216	0.848	0.0	0.013	0.837	0.935	0.995	0.0	0.996	0.972	0.933	0.0	0.102	0.001	0.069	0.997	0.109	0.011
AERS_BODY WEIGHT DECREASED	0.0	0.921	0.0	0.778	0.001	0.002	0.955	0.11	0.046	0	0.0	0.0	0.0	0.283	0.862	0.0	0.08	1.0	0.81	0.585	0.634	0.014	0.016	0.048	0.486	0.004	0.759	0.406	0.007	0.99	0.526	0.521	0.599	0.782	0.633	0.482	0.635	0.312	0.166	0.0	0.0	0.015	0.982	0.072	0.849	0.787	0.0	0.998	1.0
